,accountability,category,district,enrollment,name,turnover_rate,type
354,57,High School6–12,Frederic,205,Frederic 6-12 School,14.6%,
355,79,Elementary SchoolK4–5,Freedom Area,695,Freedom Elementary,3.0%,
356,78,High School9–12,Freedom Area,533,Freedom High,3.8%,
357,84,Elementary SchoolK4–5,Galesville-Ettrick-Trempealeau,109,Ettrick Elementary,6.6%,
358,67,Elementary SchoolK4–5,Galesville-Ettrick-Trempealeau,243,Galesville Elementary,5.3%,
359,69,High School9–12,Galesville-Ettrick-Trempealeau,417,Galesville-Ettrick-Trempealeau High,4.8%,
360,72,Middle School6–8,Galesville-Ettrick-Trempealeau,318,Galesville-Ettrick-Trempealeau Middle,2.5%,
361,73,Elementary SchoolK4–3,Genoa City J2,288,Brookwood Elementary,9.8%,
362,80,Elementary SchoolPK–5,Germantown,429,Amy Belle Elementary,6.4%,
363,83,Elementary SchoolPK–5,Germantown,485,County Line Elementary,5.1%,
364,73,High School9–12,Germantown,"1,403",Germantown High,4.6%,
365,77,Middle School6–8,Germantown,595,Kennedy Middle,4.4%,
366,85,Elementary SchoolPK–5,Germantown,379,MacArthur Elementary,7.8%,
367,93,Elementary SchoolPK–6,Gibraltar Area,278,Gibraltar Elementary,5.4%,
368,73,High School9–12,Gibraltar Area,193,Gibraltar High,5.2%,
369,70,Elementary SchoolK4–5,Gillett,241,Gillett Elementary,8.3%,
370,58,High School9–12,Gillett,152,Gillett High,9.9%,
371,80,Elementary SchoolK4–6,Gilman,179,Gilman Elementary,8.0%,
372,-,Elementary SchoolK4–4,Gilmanton,53,Gilmanton Elementary,7.0%,
373,-,High School9–12,Gilmanton,46,Gilmanton High,6.5%,
374,75,Middle School4–8,Glendale-River Hills,547,Glen Hills Middle,7.0%,
375,79,Elementary SchoolK4–5,Glenwood City,352,Glenwood City Elementary,7.3%,
376,77,High School9–12,Glenwood City,212,Glenwood City High,10.8%,
377,65,Middle School6–8,Glenwood City,143,Glenwood City Middle,9.8%,
378,79,High School7–12,Goodman-Armstrong Creek,54,Goodman High,5.6%,
379,83,Elementary SchoolK4–5,Grafton,371,Grafton Elementary,7.0%,
380,77,High School9–12,Grafton,750,Grafton High,2.8%,
381,80,Middle School6–8,Grafton,478,John Long Middle,3.8%,
382,76,Elementary SchoolK4–5,Grafton,243,Kennedy Elementary,5.7%,
383,75,Elementary SchoolK4–5,Granton Area,118,Granton Elementary,6.6%,
384,74,Elementary School1–3,Grantsburg,216,Grantsburg Elementary,2.8%,
385,70,High School9–12,Grantsburg,267,Grantsburg High,7.5%,
386,73,Middle School4–8,Grantsburg,289,Grantsburg Middle,8.0%,
387,70,Elementary/Secondary SchoolK4–8,Green Bay Area Public,558,Aldo Leopold Community School K-8,8.9%,
388,65,Elementary SchoolK4–5,Green Bay Area Public,443,Baird Elementary,22.9%,
389,-,Elementary/Secondary SchoolK4–12,Green Bay Area Public,93,Bay View,97.4%,Alternative
390,70,Elementary SchoolK4–5,Green Bay Area Public,306,Beaumont Elementary,20.2%,
391,69,Elementary SchoolK4–5,Green Bay Area Public,407,Chappell Elementary,28.5%,
392,53,Elementary SchoolK4–5,Green Bay Area Public,470,Danz Elementary,19.1%,
393,68,Elementary SchoolK4–5,Green Bay Area Public,321,Doty Elementary,20.8%,
394,-,Elementary/Secondary SchoolK4–12,Green Bay Area Public,156,Dr Rosa Minoka-Hill School,88.5%,Alternative
395,46,High School9–12,Green Bay Area Public,"1,300",East High,20.8%,
396,59,Middle School6–8,Green Bay Area Public,"1,229",Edison Middle,9.4%,
397,49,Elementary SchoolK4–5,Green Bay Area Public,445,Eisenhower Elementary,20.8%,
398,68,Elementary SchoolK4–5,Green Bay Area Public,333,Elmore Elementary,16.4%,
399,75,Elementary SchoolK4–5,Green Bay Area Public,209,Fort Howard Elementary,29.2%,
400,59,Middle School6–8,Green Bay Area Public,696,Franklin Middle,14.4%,
401,54,Elementary SchoolK4–5,Green Bay Area Public,464,Howe Elementary,23.1%,
402,75,Elementary SchoolK4–5,Green Bay Area Public,402,Jackson Elementary,10.3%,
403,54,Elementary SchoolK4–5,Green Bay Area Public,146,Jefferson Elementary,25.3%,
404,-,High School8–12,Green Bay Area Public,67,John Dewey Academy of Learning,40.3%,Charter
405,62,Elementary SchoolK4–5,Green Bay Area Public,323,Keller Elementary,31.7%,
406,74,Elementary SchoolK4–5,Green Bay Area Public,294,Kennedy Elementary,25.1%,
407,75,Elementary SchoolK4–5,Green Bay Area Public,406,King Elementary,10.5%,
408,74,Elementary SchoolK4–6,Green Bay Area Public,315,Langlade Elementary,25.0%,
409,99,Elementary/Secondary SchoolK5–8,Green Bay Area Public,342,Leonardo da Vinci School for Gifted Learners,7.0%,
410,76,Elementary SchoolK4–5,Green Bay Area Public,237,Lincoln Elementary,25.7%,
411,77,Elementary SchoolK4–6,Green Lake,154,Green Lake Elementary,15.2%,
412,84,Elementary SchoolPK–5,Greendale,329,Canterbury Elementary,4.9%,
413,96,Elementary SchoolK5–5,Greendale,289,College Park Elementary,6.6%,
414,73,High School9–12,Greendale,918,Greendale High,3.7%,
415,84,Middle School6–8,Greendale,629,Greendale Middle,4.3%,
416,80,Elementary SchoolK4–5,Greenfield,344,Edgewood Elementary,10.0%,
417,77,Elementary SchoolK4–5,Greenfield,460,Elm Dale Elementary,7.7%,
418,82,Elementary SchoolK4–5,Greenfield,326,Glenwood Elementary,9.2%,
419,62,High School9–12,Greenfield,"1,195",Greenfield High,8.2%,
420,69,Middle School6–8,Greenfield,775,Greenfield Middle,5.9%,
421,68,Elementary SchoolK4–6,Greenwood,192,Greenwood Elementary,11.6%,
422,64,Elementary SchoolK4–5,Gresham,174,Gresham Elementary,18.1%,
423,77,High School9–12,Hamilton,"1,478",Hamilton High,2.6%,
424,89,Elementary SchoolK5–5,Hamilton,318,Lannon Elementary,6.3%,
425,90,Elementary SchoolK5–5,Hamilton,416,Maple Avenue Elementary,7.7%,
426,96,Elementary SchoolK5–5,Hamilton,583,Marcy Elementary,4.1%,
427,86,Middle School6–8,Hamilton,"1,021",Templeton Middle,2.4%,
428,75,Middle School6–8,Hartford J1,564,Central Middle,3.7%,
429,87,Elementary SchoolK4–5,Hartford J1,578,Lincoln Elementary,10.2%,
430,-,Elementary SchoolK5–2,Hartland-Lakeside J3,59,Hartland Fine Arts Leadership Academy,11.9%,Charter
431,93,Elementary School3–5,Hartland-Lakeside J3,81,Hartland School of Community Learning,8.6%,
432,95,Middle School6–8,Hartland-Lakeside J3,70,LIFE-Learning Innovating Fueling Excelling Entrepreneur Magnet School,7.1%,
433,-,Elementary SchoolK4–2,Hartland-Lakeside J3,361,North Elementary,7.6%,
434,99,Middle School6–8,Hartland-Lakeside J3,300,North Shore Middle,6.0%,
435,66,Elementary/Secondary SchoolK4–12,Hayward Community,216,Hayward Ctr for Individualized Learning,22.1%,"Charter
Virtual"
436,58,High School9–12,Hayward Community,516,Hayward High,11.4%,
437,79,Elementary School3–5,Hayward Community,439,Hayward Intermediate,5.0%,
438,70,Middle School6–8,Hayward Community,374,Hayward Middle,7.2%,
439,-,Elementary SchoolPK–2,Hayward Community,379,Hayward Primary,6.3%,
440,-,Elementary SchoolK4–4,Herman-Neosho-Rubicon,204,Honor Elementary,4.6%,
441,64,Elementary SchoolK4–5,Highland,144,Highland Community Elementary,4.0%,Charter
442,-,High School9–12,Highland,81,Highland Community High,7.4%,Charter
443,78,Elementary SchoolK4–4,Hilbert,130,Hilbert Elementary,8.3%,
444,72,High School9–12,Hilbert,129,Hilbert High,5.4%,
445,66,Elementary SchoolK4–5,Hillsboro,266,Hillsboro Elementary,4.9%,
446,80,Elementary SchoolK5–5,Holmen,373,Evergreen Elementary,5.4%,
447,69,High School9–12,Holmen,"1,111",Holmen High,5.0%,
448,82,Middle School6–8,Holmen,860,Holmen Middle,3.6%,
449,92,Elementary SchoolK4–5,Holmen,446,Prairie View Elementary,5.2%,
450,83,Elementary SchoolK5–5,Holmen,424,Sand Lake Elementary,5.7%,
451,61,High School9–12,Horicon,225,Horicon High,6.2%,
452,62,Junior High School7–8,Horicon,115,Horicon Junior High,6.1%,
453,74,Middle School6–8,Hortonville Area,60,Fox West Academy,5.0%,Charter
454,86,Elementary SchoolK4–4,Hortonville Area,585,Greenville Elementary,4.8%,
455,78,Middle School5–8,Hortonville Area,566,Greenville Middle,4.1%,
456,85,Elementary SchoolK4–4,Hortonville Area,546,Hortonville Elementary,3.7%,
457,72,High School9–12,Hortonville Area,"1,073",Hortonville High,3.7%,
458,74,Middle School5–8,Hortonville Area,473,Hortonville Middle,7.0%,
459,60,Elementary SchoolK4–4,Howard-Suamico,426,Bay Harbor Elementary,4.7%,
460,73,High School9–12,Howard-Suamico,"1,867",Bay Port High,4.8%,
461,71,Middle School7–8,Howard-Suamico,928,Bay View Middle,3.1%,
462,79,Elementary SchoolK4–4,Howard-Suamico,521,Forest Glen Elementary,4.6%,
463,80,Elementary SchoolPK–4,Howard-Suamico,291,Howard Elementary,10.0%,
464,75,Elementary School5–6,Howard-Suamico,882,Lineville Intermediate,1.7%,
465,78,Elementary SchoolPK–4,Howard-Suamico,520,Meadowbrook Elementary,7.3%,
466,71,High School9–12,Howards Grove,272,Howards Grove High,2.2%,
467,77,Middle School5–8,Howards Grove,240,Howards Grove Middle,1.7%,
468,79,Elementary SchoolK5–5,Hudson,223,Houlton Elementary,6.7%,
469,78,High School9–12,Hudson,"1,803",Hudson High,4.8%,
470,71,Middle School6–8,Hudson,"1,326",Hudson Middle,4.5%,
471,86,Elementary SchoolK5–5,Hudson,404,Hudson Prairie Elementary,5.5%,
472,77,Elementary SchoolK5–5,Hudson,305,North Hudson Elementary,6.6%,
473,86,Elementary SchoolPK–5,Hudson,537,River Crest Elementary,5.0%,
474,80,Elementary SchoolK5–5,Hudson,512,Rock Elementary,8.2%,
475,74,Elementary SchoolK4–5,Hurley,291,Hurley Elementary,8.8%,
476,76,High School6–12,Hustisford,241,Hustisford High,7.0%,
477,75,Elementary SchoolK4–5,Independence,184,Independence Elementary,15.7%,
478,55,High School9–12,Independence,119,Independence High,8.4%,
479,80,Elementary SchoolK4–6,Iola-Scandinavia,363,Iola-Scandinavia Elementary,5.0%,
480,67,Elementary SchoolK4–8,Iowa-Grant,566,Iowa-Grant Elementary/Middle,8.8%,
481,81,Elementary SchoolK4–5,Ithaca,216,Ithaca Elementary,2.1%,
482,57,High School9–12,Ithaca,134,Ithaca High,9.0%,
483,61,Elementary/Secondary SchoolK5–12,Janesville,111,ARISE Virtual Academy,31.5%,"Charter
Virtual"
484,71,Elementary SchoolK4–5,Janesville,344,Adams Elementary,15.2%,
485,63,High School9–12,Janesville,"1,681",Craig High,11.3%,
486,74,Middle School6–8,Janesville,587,Edison Middle,8.9%,
487,69,Middle School6–8,Janesville,617,Franklin Middle,8.8%,
488,84,Elementary SchoolK4–5,Janesville,300,Harrison Elementary,7.0%,
489,86,Elementary SchoolK4–5,Janesville,316,Jackson Elementary,17.6%,
490,91,Elementary SchoolK4–5,Janesville,350,Jefferson Elementary,14.5%,
491,90,Elementary SchoolK4–5,Janesville,404,Kennedy Elementary,11.4%,
492,69,Elementary SchoolK4–5,Janesville,353,Lincoln Elementary,10.2%,
493,62,Elementary SchoolK4–5,Janesville,448,Madison Elementary,13.4%,
494,62,Middle School6–8,Janesville,860,Marshall Middle,5.8%,
495,69,Elementary SchoolK4–5,Janesville,408,Monroe Elementary,12.4%,
496,60,High School9–12,Janesville,"1,313",Parker High,13.0%,
497,-,High School6–12,Janesville,226,Rock River Charter School,65.9%,Charter
498,-,High School10–12,Janesville,39,Rock University High,20.5%,Charter
499,87,Elementary SchoolK4–5,Janesville,388,Roosevelt Elementary,12.6%,
500,45,High School7–12,Janesville,63,TAGOS Leadership Academy-Tailoring Academics to Guide our Students,23.8%,Charter
501,89,Elementary SchoolK4–5,Janesville,363,Van Buren Elementary,8.9%,
502,70,Elementary SchoolK4–5,Janesville,350,Washington Elementary,11.8%,
503,73,Elementary SchoolK4–5,Jefferson,341,East Elementary,7.7%,
504,67,High School9–12,Jefferson,657,Jefferson High,4.0%,
505,74,Middle School6–8,Jefferson,382,Jefferson Middle,6.3%,
506,74,Elementary SchoolK4–5,Jefferson,218,Sullivan Elementary,9.0%,
507,71,Elementary SchoolK4–5,Johnson Creek,279,Johnson Creek Elementary,30.7%,
508,67,Elementary SchoolK4–8,Juda,210,Juda Elementary,7.7%,
509,-,Elementary SchoolK4–1,Kaukauna Area,568,Dr H B Tanner Elementary,30.8%,
510,87,Elementary School1–4,Kaukauna Area,236,Haen Elementary,11.9%,
511,66,High School9–12,Kaukauna Area,"1,180",Kaukauna High,5.5%,
512,82,Elementary SchoolK4–4,Kaukauna Area,243,New Directions Learning Community,5.3%,Charter
513,88,Elementary SchoolK5–4,Kaukauna Area,214,Park Community Charter School,1.9%,Charter
514,75,Elementary School2–4,Kaukauna Area,382,Quinney Elementary,5.5%,
515,70,Elementary SchoolK4–5,Kenosha,318,Bose Elementary,18.8%,
516,53,High School9–12,Kenosha,"1,616",Bradford High,13.7%,
517,59,Elementary SchoolK4–5,Kenosha,438,Brass Community School,16.6%,
518,95,Elementary SchoolK5–8,Kenosha,216,Brompton School,8.8%,Charter
519,72,Middle School6–8,Kenosha,696,Bullen Middle,10.3%,
520,85,Elementary SchoolK5–8,Kenosha,219,Dimensions of Learning Academy,5.9%,Charter
521,67,Elementary SchoolK4–5,Kenosha,471,Edward Bain School - Creative Arts,24.6%,
522,78,Elementary SchoolK4–5,Kenosha,320,Edward Bain School - Dual Language,6.3%,
523,86,Elementary SchoolK4–5,Kenosha,409,Forest Park Elementary,7.9%,
524,77,Elementary SchoolK4–5,Kenosha,386,Frank Elementary,22.6%,
525,73,Elementary SchoolK4–5,Kenosha,284,Grant Elementary,14.6%,
526,79,Elementary SchoolK4–5,Kenosha,369,Grewenow Elementary,16.8%,
527,73,High School6–12,Kenosha,589,Harborside Academy,8.8%,Charter
528,73,Elementary SchoolK4–5,Kenosha,282,Harvey Elementary,9.9%,
529,-,High School6–12,Kenosha,64,Hillcrest School,56.3%,Alternative
530,59,High School9–12,Kenosha,"2,301",Indian Trail High School and Academy,8.7%,
531,76,Elementary SchoolK4–5,Kenosha,248,Jefferson Elementary,19.3%,
532,73,Elementary SchoolK4–5,Kenosha,322,Jeffery Elementary,9.4%,
533,84,Elementary SchoolK4–8,Kenosha,"1,118",Kenosha School of Technology Enhanced Curriculum,5.3%,Charter
534,-,Elementary/Secondary SchoolK5–12,Kenosha,118,Kenosha eSchool K-12,59.3%,"Charter
Virtual"
535,88,High School9–12,Kenosha,432,Lakeview Technology Academy,5.1%,
536,67,Middle School6–8,Kenosha,929,Lance Middle,4.5%,
537,64,Middle School6–8,Kenosha,618,Lincoln Middle,10.4%,
538,79,Middle School6–8,Kenosha,"1,073",Mahone Middle,7.5%,
539,90,Elementary SchoolK4–5,Kettle Moraine,431,Cushing Elementary,5.2%,
540,81,Elementary SchoolK4–5,Kettle Moraine,420,Dousman Elementary,5.3%,
541,93,High School9–12,Kettle Moraine,153,High School of Health Sciences,9.2%,Charter
542,91,Elementary SchoolK5–5,Kettle Moraine,142,Kettle Moraine Explore,4.9%,Charter
543,-,High School9–12,Kettle Moraine,88,Kettle Moraine Global School for Global Leadership and Innovation,10.2%,"Charter
Virtual"
544,84,High School9–12,Kettle Moraine,"1,022",Kettle Moraine High,4.8%,
545,83,Middle School6–8,Kettle Moraine,877,Kettle Moraine Middle,3.5%,
546,92,Elementary SchoolK4–5,Kettle Moraine,266,Magee Elementary,4.9%,
547,83,High School9–12,Kettle Moraine,170,School for Arts and Performance,12.9%,Charter
548,96,Elementary SchoolK4–5,Kewaskum,224,Farmington Elementary,6.9%,
549,85,Elementary SchoolK4–5,Kewaskum,494,Kewaskum Elementary,8.0%,
550,59,High School9–12,Kewaskum,623,Kewaskum High,4.8%,
551,77,Middle School6–8,Kewaskum,388,Kewaskum Middle,5.1%,
552,83,Elementary SchoolK4–5,Kewaunee,438,Kewaunee Elementary,3.8%,
553,70,High School9–12,Kewaunee,310,Kewaunee High,2.6%,
554,74,Elementary SchoolK4–5,Kickapoo Area,222,Kickapoo Elementary,4.6%,
555,66,High School9–12,Kiel Area,444,Kiel High,4.3%,
556,75,Middle School5–8,Kiel Area,345,Kiel Middle,2.6%,
557,-,Elementary/Secondary School7–12,Kiel Area,1,Kiel eSchool,-,"Charter
Virtual"
558,81,Middle School7–8,Kimberly Area,777,Gerritts Middle,1.5%,
559,82,Elementary SchoolK5–4,Kimberly Area,391,Janssen Elementary,5.9%,
560,75,High School9–12,Kimberly Area,"1,533",Kimberly High,3.1%,
561,84,Elementary School5–6,Kimberly Area,440,Mapleview Intermediate,2.9%,
562,92,Elementary SchoolK5–4,Kimberly Area,434,Sunrise Elementary,4.8%,
563,83,Elementary SchoolK5–4,Kimberly Area,439,Westside Elementary,10.5%,
564,92,Elementary School5–6,Kimberly Area,333,Woodland Intermediate,0.9%,
565,93,Elementary SchoolK4–5,Kohler,344,Kohler Elementary,3.2%,
566,98,High School9–12,Kohler,242,Kohler High,7.0%,
567,-,High School9–12,La Crosse,39,7 Rivers Community High School,10.3%,"Charter
Alternative"
568,64,High School9–12,La Crosse,"1,085",Central High,8.3%,
569,70,Elementary SchoolK4–8,La Crosse,166,Coulee Montessori Charter School,14.6%,Charter
570,84,Elementary SchoolK4–5,La Crosse,385,Emerson Elementary,12.7%,
571,80,Elementary SchoolK4–5,La Crosse,200,Hamilton Early Learning Center,23.6%,
572,67,Elementary SchoolK4–5,La Crosse,327,Hintgen Elementary,12.8%,
573,69,Middle School6–8,La Crosse,61,La Crosse Design Institute,8.2%,Charter
574,-,High School9–12,La Crosse,48,LaCrossroads Charter,31.3%,Charter
575,76,Middle School6–8,La Crosse,333,Lincoln Middle,11.1%,
576,65,High School9–12,La Crosse,721,Logan High,11.8%,
577,58,Middle School6–8,La Crosse,432,Logan Middle,9.7%,
578,73,Middle School6–8,La Crosse,510,Longfellow Middle,6.3%,
579,74,Elementary SchoolK4–5,La Crosse,383,North Woods International School,12.5%,
580,73,Elementary SchoolK4–5,La Crosse,395,Northside Elementary,17.1%,
581,78,Elementary SchoolK5–5,La Crosse,121,School of Technology and Arts I,4.1%,Charter
582,73,Middle School6–8,La Crosse,42,School of Technology and Arts II,16.7%,Charter
583,74,Elementary SchoolK4–5,La Crosse,317,Southern Bluffs Elementary,8.5%,
584,68,Elementary SchoolK4–5,La Crosse,384,Spence Elementary,9.3%,
585,73,Elementary SchoolK4–5,La Crosse,316,State Road Elementary,10.0%,
586,65,Elementary SchoolK4–5,La Farge,116,La Farge Elementary,12.2%,
587,-,High School9–12,La Farge,60,La Farge High,6.7%,
588,75,Elementary SchoolK4–5,Ladysmith,355,Ladysmith Elementary,12.9%,
589,55,High School9–12,Ladysmith,294,Ladysmith High,15.0%,
590,80,Elementary SchoolK4–3,Lake Geneva J1,647,Central - Denison Elementary,8.3%,
591,90,Elementary School4–5,Lake Geneva J1,302,Eastview Elementary,8.6%,
592,68,Middle School6–8,Lake Geneva J1,662,Lake Geneva Middle,7.0%,
593,68,Elementary SchoolK4–8,Lake Holcombe,208,Holcombe Elementary,4.2%,
594,82,Elementary SchoolK4–4,Lake Mills Area,627,Lake Mills Elementary,6.9%,
595,77,High School9–12,Lake Mills Area,402,Lake Mills High,5.0%,
596,67,High School9–12,Lancaster Community,278,Lancaster High,7.2%,
597,78,Middle School6–8,Lancaster Community,210,Lancaster Middle,5.2%,
598,55,High School7–12,Laona,95,Laona High,5.3%,
599,81,Elementary SchoolK4–5,Lena,195,Lena Elementary,4.6%,
600,53,High School9–12,Lena,104,Lena High,7.7%,
601,80,Elementary SchoolK5–8,Little Chute Area,75,Flex Academy,32.0%,Charter
602,76,High School9–12,Little Chute Area,121,Little Chute Career Pathways Academy,11.6%,Charter
603,83,Elementary SchoolK4–4,Little Chute Area,593,Little Chute Elementary,9.9%,
604,60,High School9–12,Little Chute Area,373,Little Chute High,7.8%,
605,92,Elementary School5–6,Little Chute Area,206,Little Chute Intermediate,4.4%,
606,82,Elementary School1–5,Lodi,426,Lodi Elementary,11.0%,
607,75,High School9–12,Lodi,494,Lodi High,3.0%,
608,75,Middle School6–8,Lodi,321,Lodi Middle,0.9%,
609,83,Elementary SchoolPK–5,Lomira,230,Lomira Elementary,8.4%,
610,73,High School9–12,Lomira,377,Lomira High,5.8%,
611,71,Middle School6–8,Lomira,236,Lomira Middle,4.2%,
612,72,Elementary SchoolK4–6,Loyal,272,Loyal Elementary,6.6%,
613,69,High School9–12,Loyal,142,Loyal High,2.1%,
614,63,Elementary SchoolK4–6,Luck,264,Luck Elementary,11.8%,
615,70,High School9–12,Luxemburg-Casco,638,Luxemburg-Casco High,2.5%,
616,91,Elementary School3–6,Luxemburg-Casco,486,Luxemburg-Casco Intermediate,4.3%,
617,75,Middle School7–8,Luxemburg-Casco,318,Luxemburg-Casco Middle,3.5%,
618,67,Elementary SchoolK4–5,Madison Metropolitan,499,Allis Elementary,24.9%,
619,73,Middle School6–8,Madison Metropolitan,77,Badger Rock Middle,19.5%,Charter
620,66,Middle School6–8,Madison Metropolitan,389,Black Hawk Middle,12.3%,
621,78,Elementary SchoolK4–5,Madison Metropolitan,673,Cesar Chavez Elementary,12.8%,
622,57,Middle School6–8,Madison Metropolitan,477,Cherokee Heights Middle,13.6%,
623,68,Elementary SchoolK4–5,Madison Metropolitan,365,Crestwood Elementary,14.1%,
624,62,High School9–12,Madison Metropolitan,"1,614",East High,14.6%,
625,80,Elementary SchoolK4–5,Madison Metropolitan,447,Elvehjem Elementary,15.7%,
626,78,Elementary SchoolK4–5,Madison Metropolitan,395,Emerson Elementary,14.7%,
627,74,Elementary SchoolK4–5,Madison Metropolitan,365,Falk Elementary,21.6%,
628,-,Elementary SchoolK4–2,Madison Metropolitan,401,Franklin Elementary,7.2%,
629,84,Elementary SchoolK4–5,Madison Metropolitan,514,Glendale Elementary,15.1%,
630,65,Elementary SchoolK4–5,Madison Metropolitan,257,Gompers Elementary,14.6%,
631,83,Middle School6–8,Madison Metropolitan,827,Hamilton Middle,6.5%,
632,64,Elementary SchoolK4–5,Madison Metropolitan,395,Hawthorne Elementary,12.2%,
633,77,Elementary SchoolK4–5,Madison Metropolitan,499,Huegel Elementary,14.2%,
634,-,High School9–12,Madison Metropolitan,305,Innovative & Alternative High,69.2%,Alternative
635,-,Middle School6–8,Madison Metropolitan,1,Innovative & Alternative Middle,-,Alternative
636,77,Middle School6–8,Madison Metropolitan,255,James Wright Middle,4.7%,Charter
637,67,Middle School6–8,Madison Metropolitan,505,Jefferson Middle,8.9%,
638,65,Elementary SchoolK4–5,Madison Metropolitan,499,Kennedy Elementary,13.0%,
639,55,High School9–12,Madison Metropolitan,"1,567",LaFollette High,12.3%,
640,64,Elementary SchoolK4–5,Madison Metropolitan,258,Lake View Elementary,18.6%,
641,-,Elementary SchoolK4–2,Madison Metropolitan,243,Lapham Elementary,13.0%,
642,84,High School7–12,Manawa,335,Little Wolf Junior/Senior High,6.0%,
643,73,Elementary School1–6,Manitowoc,400,Franklin Elementary,11.3%,
644,76,Elementary School1–6,Manitowoc,326,Jackson Elementary,4.3%,
645,67,Elementary School1–6,Manitowoc,381,Jefferson Elementary,10.8%,
646,64,High School10–12,Manitowoc,"1,134",Lincoln High,8.3%,
647,69,Elementary School1–6,Manitowoc,246,Madison Elementary,17.5%,
648,-,High School9–12,Manitowoc,57,McKinley Academy,22.8%,"Charter
Alternative"
649,74,Elementary School1–6,Manitowoc,366,Monroe Elementary,11.2%,
650,75,Elementary School1–6,Manitowoc,364,Stangel Elementary,14.3%,
651,76,Junior High School7–9,Manitowoc,526,Washington Junior High,6.1%,
652,93,Elementary SchoolK5–5,Maple,92,Iron River Elementary,3.3%,
653,76,Elementary SchoolK4–5,Maple,522,Northwestern Elementary,7.1%,
654,61,High School9–12,Maple,453,Northwestern High,8.0%,
655,-,Elementary SchoolK4–2,Maple Dale-Indian Hill,166,Indian Hill Elementary,11.4%,
656,74,Elementary SchoolK4–5,Marathon City,342,Marathon Elementary,6.9%,
657,77,High School9–12,Marathon City,242,Marathon High,2.9%,
658,53,Elementary SchoolPK–4,Marinette,178,Garfield Elementary,8.4%,
659,65,High School9–12,Marinette,629,Marinette High,8.0%,
660,60,Middle School5–8,Marinette,601,Marinette Middle,6.7%,
661,65,Elementary SchoolPK–4,Marinette,162,Merryman Elementary,7.4%,
662,75,Elementary SchoolK4–6,Marion,258,Marion Elementary,9.6%,
663,72,High School9–12,Markesan,246,Markesan High,7.7%,
664,68,Elementary School4–5,Markesan,102,Markesan Intermediate,3.9%,
665,90,Middle School6–8,Markesan,196,Markesan Middle,4.6%,
666,-,High School10–12,Marshall,8,Marshall Charter,-,Charter
667,-,Elementary SchoolK4–2,Marshall,261,Marshall Early Learning Center,10.7%,
668,77,Elementary School3–6,Marshall,312,Marshall Elementary,8.3%,
669,64,High School9–12,Marshall,311,Marshall High,7.7%,
670,83,Elementary SchoolK5–6,Marshfield Unified,680,Grant Elementary,9.3%,
671,75,Elementary SchoolK5–6,Marshfield Unified,338,Lincoln Elementary,11.5%,
672,76,Elementary SchoolK5–6,Marshfield Unified,346,Madison Elementary,9.5%,
673,72,High School9–12,Marshfield Unified,"1,182",Marshfield High,5.3%,
674,73,Middle School7–8,Marshfield Unified,588,Marshfield Middle,5.1%,
675,88,Elementary SchoolK5–6,Marshfield Unified,297,Nasonville Elementary,4.7%,
676,68,Elementary School3–5,Mauston,262,Grayside Elementary,5.7%,
677,86,Elementary SchoolK4–4,Mauston,78,Lyndon Station Elementary,11.9%,
678,56,High School9–12,Mauston,474,Mauston High,10.1%,
679,-,Elementary SchoolK4–3,Mauston,39,Mauston Montessori Charter School,25.9%,Charter
680,78,Middle School6–8,Mauston,296,Olson Middle,5.4%,
681,-,Elementary SchoolK4–2,Mauston,284,West Side Elementary,13.2%,
682,68,High School9–12,Mayville,381,Mayville High,2.4%,
683,76,Elementary/Secondary School3–8,Mayville,475,Mayville Middle,7.8%,
684,-,High School9–12,McFarland,68,Destinations Career Academy of Wisconsin High School,61.8%,"Charter
Virtual"
685,76,Middle School6–8,McFarland,542,Indian Mound Middle,2.8%,
686,80,High School9–12,McFarland,675,McFarland High,4.2%,
687,-,Elementary School1–2,McFarland,343,McFarland Primary School,2.3%,
688,79,Elementary School3–5,McFarland,538,Waubesa Intermediate,2.0%,
689,52,High School9–12,McFarland,989,Wisconsin Virtual Academy High (WIVA),38.8%,"Charter
Virtual"
690,84,Elementary SchoolK4–4,Medford Area Public,650,Medford Elementary,6.6%,
691,65,High School9–12,Medford Area Public,678,Medford High,6.3%,
692,70,Middle School5–8,Medford Area Public,640,Medford Middle,3.1%,
693,64,Elementary/Secondary SchoolK4–11,Medford Area Public,297,Rural Virtual Academy,38.8%,"Charter
Virtual"
694,74,Elementary SchoolK4–8,Melrose-Mindoro,345,Melrose Elementary,24.6%,
695,67,High School9–12,Melrose-Mindoro,222,Melrose-Mindoro High,10.4%,
696,69,Elementary SchoolK5–3,Menasha Joint,156,Banta School,10.3%,
697,86,Elementary SchoolK4–5,Menasha Joint,421,Butte des Morts Elementary,11.0%,
698,86,Elementary SchoolK4–5,Menasha Joint,545,Clovis Grove Elementary,11.9%,
699,82,Elementary SchoolK4–5,Menasha Joint,380,Gegan Elementary,25.8%,
700,-,Elementary SchoolK4–2,Menasha Joint,180,Jefferson Elementary,19.0%,
701,77,Middle School6–8,Menasha Joint,697,Maplewood Middle,6.5%,
702,61,High School9–12,Menasha Joint,"1,003",Menasha High,9.8%,
703,52,Elementary SchoolK4–5,Menominee Indian,447,Keshena Primary,10.3%,
704,43,High School9–12,Menominee Indian,273,Menominee Indian High,12.1%,
