id,School_Name,Ship_Address_Line_1,Ship_Address_Line_2,locality,Mail_Zip,Overall_Accountability_Rating,Overall_Accountability_Score,School_Enrollment,SchoolLevel,SWD,ED,LEP,Lowest_Grade_in_the_School,Highest_Grade_in_the_School,School_Student_Achievement_Score,School_ELA_Achievement_Score,School_Mathematics_Achievement_Score,School_Student_Growth_Score,School_ELA_Growth_Score,School_Mathematics_Growth_Score,School_Closing_Gaps_Score,School_ELA_Gap_Score,School_Mathematics_Gap_Score,School_Graduation_Gap_Score,School_On-Track_and_Postsecondary_Readiness_Score,School_Graduation_Rate_Score,School_Attendance_Rate_Score,School_Third-Grade_ELA_Achievement_Score,School_Eighth-Grade_Mathematics_Achievement_Score,Agency_type,Charter_school_indicator,Charter_Type,District_or_Authorizer,Enrollment_type,Enrollment_detail
6244-40,Eisenhower Elementary,11600 W Center St,Wauwatosa WI  53222-4196,Wauwatosa,53222,Exceeds Expectations,75.5,390,Elementary School,11.3,28.7,6.7,K4,5,71.2,35.7,35.5,67.9,33,34.9,71.3,36,35.3,,91.1,,76.4,14.7,,Public school,No,,,District,District
3619-148,Elm Creative Arts Elementary,900 W Walnut St,Milwaukee WI  53205-1761,Milwaukee,53205,Fails to Meet Expectations,36.7,440,Elementary School,20.9,93.6,0,K3,5,11.2,5.9,5.3,20.5,5.5,15,53.7,24.6,29.1,,74.1,,71.3,2.8,,Public school,No,,,District,District
2303-80,Elm Dale Elementary,5300 S Honey Creek Dr,Greenfield WI  53221-3000,Greenfield,53221,Exceeds Expectations,77.3,460,Elementary School,10.4,37.4,8.9,K4,5,72.7,40.3,32.5,69.8,33,36.8,73.2,39.6,33.6,,93.5,,76.9,16.6,,Public school,No,,,District,District
3619-150,Emerson Elementary,9025 W Lawrence Ave,Milwaukee WI  53225-5038,Milwaukee,53225,Meets Few Expectations,57.2,273,Elementary School,21.2,90.5,0.4,K3,5,36.7,19.1,17.6,60.4,35.9,24.5,50.3,23.8,26.5,,82.3,,73.5,8.8,,Public school,No,,,District,District
3619-152,Engleburg Elementary,5100 N 91st St,Milwaukee WI  53225-4131,Milwaukee,53225,Fails to Meet Expectations,50.2,312,Elementary School,30.4,88.1,0.3,K3,5,21.7,12.2,9.5,47,29.2,17.8,55.5,28.8,26.7,,76.2,,71.8,4.4,,Public school,No,,,District,District
8131-400,Escuela Verde,3628 W Pierce St,Milwaukee WI  53215,Milwaukee,53215,Fails to Meet Expectations,22.8,117,High School,6.8,85.5,17.9,7,12,11.4,9.1,2.3,,,,,,,,93.3,,93.3,,,Non District Charter Schools,Yes,2R,City of Milwaukee,Autonomous charter,Non-District Charter
3619-155,Fairview Elementary,6500 W Kinnickinnic River Pkwy,Milwaukee WI  53219-3030,Milwaukee,53219,Meets Expectations,67.8,645,Elementary School,23.1,54.4,2.2,K3,8,59.3,31.1,28.3,64.2,32.1,32.1,58.9,28.1,30.8,,86.4,,75.1,6,5.3,Public school,No,,,District,District
3619-158,Fernwood Montessori,3239 S Pennsylvania Ave,Milwaukee WI  53207-3131,Milwaukee,53207,Exceeds Expectations,77.7,741,Elementary School,13.2,24.3,0.1,K3,8,76.2,43.5,32.7,77.5,41.6,35.9,66.8,36,30.8,,90.6,,76.5,7.7,6.4,Public school,No,,,District,District
3619-170,Fifty-Third Street Elementary,3618 N 53rd St,Milwaukee WI  53216-2952,Milwaukee,53216,Meets Few Expectations,53,470,Elementary School,27.2,92.6,0,K3,8,23,13,10,58.5,26.4,32.1,46,19.3,26.7,,76.1,,72.2,2.3,1.6,Public school,No,,,District,District
3619-173,Forest Home Elementary,1516 W Forest Home Ave,Milwaukee WI  53204-3256,Milwaukee,53204,Meets Few Expectations,56.2,729,Elementary School,28.5,97.5,36.1,K3,5,32.9,17,15.9,48.9,28.2,20.7,71,36.5,34.5,,79.3,,72.3,7,,Public school,No,,,District,District
1900-70,Forest Park Middle,8225 W Forest Hill Ave,Franklin WI  53132-9706,Franklin,53132,Exceeds Expectations,75,721,Middle School,8.6,13.7,2.6,7,8,82,40.4,41.6,53.7,17.8,35.9,55.8,25.5,30.3,,92.3,,76,,16.3,Public school,No,,,District,District
4018-170,Forest Ridge Elementary,2200 W. Drexel Avenue,"Oak Creek, WI 53154",Oak Creek,53154,Alternate Rating - Satisfactory Progress,AR,390,Elementary School,11.3,39.5,16.4,K4,5,,,,,,,,,,,,,,,,Public school,No,,,District,District
6300-40,Frank Lloyd Wright Intermediate,9501 W Cleveland Ave,West Allis WI  53227-3399,West Allis,53227,Exceeds Expectations,76.4,684,Middle School,13.6,54.2,1.6,6,8,62.9,35.3,27.7,79.4,39.7,39.7,69.8,38.4,31.4,,84.9,,74.6,,10.3,Public school,No,,,District,District
6300-60,Franklin Elementary,2060 S 86th St,West Allis WI  53227-1795,West Allis,53227,Meets Expectations,68.5,366,Elementary School,18.3,65,2.7,K4,5,64.2,30.9,33.3,68,35.9,32.1,51.5,23.8,27.7,,87.2,,76,11.2,,Public school,No,,,District,District
3619-179,Franklin Elementary,2308 W Nash St,Milwaukee WI  53206-1830,Milwaukee,53206,Fails to Meet Expectations,52.4,345,Elementary School,38,97.1,0,K3,8,28.2,15,13.2,64.1,21.6,42.5,32.4,14.8,17.6,,76.2,,71.9,1.1,3.2,Public school,No,,,District,District
1900-60,Franklin High,8222 S 51st St,Franklin WI  53132-9293,Franklin,53132,Exceeds Expectations,77.4,1512,High School,7.1,11.4,1.7,9,12,74.8,40.7,34.1,,,,69.4,16.1,19.3,34,98.6,98.6,,,,Public school,No,,,District,District
3619-182,Fratney Elementary,3255 N Fratney St,Milwaukee WI  53212-2240,Milwaukee,53212,Meets Few Expectations,61.8,453,Elementary School,13,76.4,20.5,K3,5,31.8,17.5,14.3,55.6,35.9,19.7,59.6,33.1,26.5,,81.1,,73.6,7.5,,Public school,No,,,District,District
3619-185,Gaenslen Elementary,1250 E Burleigh St,Milwaukee WI  53212-2217,Milwaukee,53212,Fails to Meet Expectations,40.7,761,Elementary School,43.5,90.7,0.4,K3,8,22.9,14.3,8.6,37.6,16.9,20.7,35.1,16.7,18.4,,75.3,,71.5,2.1,1.7,Public school,No,,,District,District
NA-740,Garden Homes Lutheran School,2450 W. Roosevelt Dr.,"Milwaukee, WI 53209",Milwaukee,53209,Significantly Exceeds Expectations,87.3,252,Elementary School,1.6,75,0,K4,8,55,24,31,91.6,50,41.6,,,,,85.2,,77.3,3.1,4.8,Private school,No,,,Private,Private
3619-191,Garland Elementary,3120 W Green Ave,Milwaukee WI  53221-4178,Milwaukee,53221,Exceeds Expectations,77.4,556,Elementary School,18.3,86.3,25.4,K3,8,56.9,30.9,26,81.3,41.6,39.7,66.1,31.7,34.4,,85.8,,74.5,5.9,5.4,Public school,No,,,District,District
2184-10,Glen Hills Middle,2600 W Mill Rd,Glendale WI  53209-3286,Glendale,53209,Exceeds Expectations,74.9,547,Middle School,10.2,34,0.5,4,8,74.1,39.5,34.6,53.7,30.2,23.5,83.7,43.1,40.6,,87.7,,75.2,,12.5,Public school,No,,,District,District
2303-100,Glenwood Elementary,3550 S 51st St,Greenfield WI  53220-1598,Greenfield,53220,Exceeds Expectations,82.3,326,Elementary School,12.9,51.5,5.5,K4,5,68.7,37,31.7,77.5,43.5,34,87.5,48.4,39.1,,91.8,,76.5,15.3,,Public school,No,,,District,District
NA-790,Good Shepherds Evangelical Lutheran School,1337 S. 100th St.,"West Allis, WI 53214",West Allis,53214,Not Rated*,,35,Elementary School,2.9,65.7,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-192,Goodrich Elementary,8251 N Celina St,Milwaukee WI  53224-2713,Milwaukee,53224,Meets Few Expectations,55.7,301,Elementary School,26.2,87,0.3,K3,5,33.2,18.8,14.4,50.9,35.9,15,65.1,32.2,32.9,,79.4,,72.4,7,,Public school,No,,,District,District
NA-1088,Grace Christian Academy,8420 W. Beloit Rd.,"West Allis, WI 53227",West Allis,53227,Meets Few Expectations,54.6,191,Elementary/Secondary School,0,84.8,3.1,K4,12,37.5,18.4,19.2,47,25.4,21.6,,,,,80.4,,75.6,2.4,2.4,Private school,No,,,Private,Private
3619-410,Grandview High,615 W Washington St,Milwaukee WI  53204-2309,Milwaukee,53204,Alternate Rating - Satisfactory Progress,AR,235,High School,11.9,92.8,16.6,9,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-193,Grant Elementary,2920 W Grant St,Milwaukee WI  53215-2446,Milwaukee,53215,Exceeds Expectations,75.3,647,Elementary School,15.9,92.3,15.1,K3,8,41.5,22.1,19.5,76.5,35.9,40.6,74.2,35.3,38.9,,81,,72.6,4.9,3.5,Public school,No,,,District,District
3619-196,Grantosa Drive Elementary,4850 N 82nd St,Milwaukee WI  53218-3604,Milwaukee,53218,Meets Few Expectations,53.1,620,Elementary School,29.2,94.5,0,K3,8,19.2,11.6,7.6,58.4,27.3,31.1,48.1,21.4,26.7,,75.2,,71.8,1.9,1.5,Public school,No,,,District,District
NA-1165,Granville Lutheran School,8242 N. Granville Rd.,"Milwaukee, WI 53224",Milwaukee,53224,Meets Expectations,72,242,Elementary School,2.5,88.8,0,K4,8,29.5,13.3,16.2,73.7,30.2,43.5,,,,,80.2,,74.4,2,3.8,Private school,No,,,Private,Private
NA-1345,Greater Holy Temple Christian Academy,5575 N. 76th St.,"Milwaukee, WI 53218",Milwaukee,53218,Meets Few Expectations,54.7,685,Elementary School,1.9,99,0,K4,8,14.6,9.6,5.1,49,24.5,24.5,,,,,82,,80,1.2,0.8,Private school,No,,,Private,Private
3619-120,Green Bay Avenue School,3872 N 8th St,"Milwaukee, WI 53206",Milwaukee,53206,Alternate Rating - Needs Improvement,AR,,Elementary School,,,,K4,5,,,,,,,,,,,,,,,,Public school,No,,,District,District
2296-60,Greendale High,6801 Southway,Greendale WI  53129-2498,Greendale,53129,Meets Expectations,72.8,927,High School,9,18.8,2.2,9,12,77.9,38.6,39.3,,,,55,4.7,13.7,36.6,98.1,98.1,,,,Public school,No,,,District,District
2296-80,Greendale Middle,6800 Schoolway,Greendale WI  53129-1819,Greendale,53129,Significantly Exceeds Expectations,84.1,629,Middle School,9.1,26.2,2.9,6,8,87,47.4,39.6,76.4,48.2,28.2,77.8,45.6,32.2,,92.8,,76.5,,16.3,Public school,No,,,District,District
3619-202,Greenfield Bilingual,1711 S 35th St,Milwaukee WI  53215-2004,Milwaukee,53215,Meets Expectations,72.4,654,Elementary School,15.7,95.1,38.6,K3,8,53.6,27.7,25.9,68.9,30.2,38.7,70.1,37.5,32.6,,84.8,,74.3,5.2,5.3,Public school,No,,,District,District
2303-120,Greenfield High,4800 S 60th St,Greenfield WI  53220-4699,Greenfield,53220,Meets Few Expectations,61.7,1196,High School,11.5,39,3.1,9,12,52,30.3,21.7,,,,57.9,12.5,14.6,30.8,88.5,88.5,,,,Public school,No,,,District,District
2303-130,Greenfield Middle,3200 W Barnard Ave,Greenfield WI  53221-2683,Greenfield,53221,Meets Expectations,69.1,775,Middle School,10.2,42.1,4.1,6,8,61.1,33.3,27.8,62.3,30.2,32.1,65.8,32.9,32.9,,87,,75.8,,11.2,Public school,No,,,District,District
3619-236,Groppi High,1312 N 27th St,Milwaukee WI  53208-2408,Milwaukee,53208,Alternate Rating - Needs Improvement,AR,191,Elementary/Secondary School,15.7,87.4,0.5,6,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
6470-40,Hales Corners Elementary,11319 W Godsell Ave,Hales Corners WI  53130-1899,Hales Corners,53130,Significantly Exceeds Expectations,84.3,562,Elementary School,17.8,27,5.9,PK,5,85.9,42.6,43.4,86.9,48.2,38.7,72,40.1,31.9,,92.5,,76.4,16.1,,Public school,No,,,District,District
NA-840,Hales Corners Lutheran Schools,12300 W. Janesville Rd.,"Hales Corners, WI 53130",Hales Corners,53130,Not Rated*,,62,Elementary School,0,93.5,0,K4,8,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
3619-18,Hamilton High,6215 W Warnimont Ave,Milwaukee WI  53220-1322,Milwaukee,53220,Fails to Meet Expectations,29.8,1820,High School,24,76.6,11.4,9,12,18.5,12.5,6.1,,,,49.4,13.6,14.9,20.9,63,63,,,,Public school,No,,,District,District
3619-205,Hampton Elementary,5000 N 53rd St,Milwaukee WI  53218-4333,Milwaukee,53218,Meets Expectations,69.8,221,Elementary School,24,96.4,0,K3,5,36.2,17,19.2,82.2,40.6,41.6,67.2,31.9,35.3,,76.8,,71,5.8,,Public school,No,,,District,District
3619-880,HAPA-Hmong American Peace Academy K3-12,4601 N 84th St,Milwaukee WI  53225-4958,Milwaukee,53225,Exceeds Expectations,81.9,1481,Elementary/Secondary School,5.3,80.1,15.3,K4,12,59.5,32.7,26.8,83,50,33,78.9,23.7,18.4,36.8,87.4,75.6,,5.5,6.3,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-208,Hartford Avenue Elementary,2227 E Hartford Ave,Milwaukee WI  53211-3101,Milwaukee,53211,Meets Few Expectations,61.1,574,Elementary School,16.7,75.6,0,K3,8,34.5,19.5,15,49,26.4,22.6,68.9,34.1,34.8,,80.4,,73.6,4.2,2.6,Public school,No,,,District,District
3619-211,Hawley Environmental School,5610 W Wisconsin Ave,Milwaukee WI  53213-4258,Milwaukee,53213,Meets Few Expectations,60.4,356,Elementary School,22.5,72.2,0.6,K3,5,28.9,15.6,13.4,57.4,29.2,28.2,51.1,27,24.1,,81.2,,74.1,7.1,,Public school,No,,,District,District
3619-212,Hawthorne Elementary,6945 N 41st St,Milwaukee WI  53209-2204,Milwaukee,53209,Meets Few Expectations,58,302,Elementary School,22.8,95.4,0,K3,5,22.9,12.3,10.6,42.3,27.3,15,72.7,32.9,39.8,,78.4,,73.2,5.2,,Public school,No,,,District,District
3619-214,Hayes Bilingual School,971 W Windlake Ave,Milwaukee WI  53204-3822,Milwaukee,53204,Exceeds Expectations,75.7,623,Elementary School,21,87.3,62.9,K3,8,32.7,18.2,14.5,78.4,41.6,36.8,74.7,39.4,35.3,,80.5,,74.4,3.9,2.2,Public school,No,,,District,District
3619-217,Hi-Mount Elementary,4921 W Garfield Ave,Milwaukee WI  53208-1109,Milwaukee,53208,Meets Few Expectations,56.7,253,Elementary School,20.6,97.2,0.8,K3,8,16.7,9.7,7,58.4,27.3,31.1,65.1,27.2,37.9,,73.2,,70.5,1.8,0.9,Public school,No,,,District,District
NA-1101,Hickman Academy Preparatory School,4200 N. 51st Blvd.,"Milwaukee, WI 53216",Milwaukee,53216,Fails to Meet Expectations,32.5,274,Elementary School,3.6,99.3,0,K4,8,7.4,4.8,2.7,28.1,7.4,20.7,,,,,72,,70.7,0.9,0.4,Private school,No,,,Private,Private
3619-852,Highland Community School,1706 W Highland Ave,Milwaukee WI  53233-1198,Milwaukee,53233,Exceeds Expectations,76.8,390,Elementary School,12.8,44.9,0,K3,8,53.7,32.5,21.2,82.2,43.5,38.7,78,41,37,,85.8,,76.5,5.4,3.9,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
2296-100,Highland View Elementary,5900 S 51st St,Greendale WI  53129-2699,Greendale,53129,Exceeds Expectations,78.7,385,Elementary School,15.3,28.3,9.4,PK,5,84.7,43,41.7,87.9,47.3,40.6,49.8,29.8,20,,92.9,,76.8,16.1,,Public school,No,,,District,District
3619-218,Holmes Elementary,2463 N Buffum St,Milwaukee WI  53212-2901,Milwaukee,53212,Meets Few Expectations,59.7,284,Elementary School,35.2,98.9,0,K3,8,25.2,14.3,10.9,73.6,38.7,34.9,46,21.2,24.8,,75.1,,70.9,2.7,1.5,Public school,No,,,District,District
NA-1180,Holy Redeemer Christian Academy,3500 W. Mother Daniels Way,"Milwaukee, WI 53209",Milwaukee,53209,Not Rated*,,422,Elementary/Secondary School,1.7,99.5,0,K4,12,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-2850,Holy Wisdom Academy,3344 S. 16th St.,"Milwaukee, WI 53215",Milwaukee,53215,Fails to Meet Expectations,50,246,Elementary School,3.3,88.2,32.9,K4,8,43.2,24.1,19.1,37.6,18.8,18.8,,,,,85.6,,76.7,4.6,4.3,Private school,No,,,Private,Private
3619-334,Honey Creek Elementary,6701 W Eden Pl,Milwaukee WI  53220-1335,Milwaukee,53220,Exceeds Expectations,74.9,392,Elementary School,20.2,57.9,0.5,K3,5,67.2,34.4,32.8,73.7,37.8,35.9,65,33.6,31.4,,89.8,,76.1,13.7,,Public school,Yes,Instrumentality,Milwaukee,District,District Instrumentality Charter
NA-1408,Hope Christian High School,3215 N. Martin Luther King Dr.,"Milwaukee, WI 53212",Milwaukee,53212,Fails to Meet Expectations,42.2,306,High School,3.9,85.9,0,9,12,29.7,19.7,10,,,,,,,,92.4,,92.4,,,Private school,No,,,Private,Private
NA-1703,Hope Christian School: Caritas,8920 W. Brown Deer Rd.,"Milwaukee, WI 53224",Milwaukee,53224,Fails to Meet Expectations,51.5,230,Elementary School,2.2,98.3,0,K4,7,11.3,5.6,5.7,47.1,13.1,34,,,,,75.4,,73.6,1.8,,Private school,No,,,Private,Private
NA-1729,Hope Christian School: Fidelis,4200 W. Douglas Avenue,"Milwaukee, WI 53209",Milwaukee,53209,Not Rated*,,195,Elementary School,1.5,95.9,0,K4,5,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
NA-1439,Hope Christian School: Fortis,3601 N. Pt. Washington,"Milwaukee, WI 53212",Milwaukee,53212,Meets Expectations,71.5,445,Elementary School,1.3,95.7,0,K4,8,23.2,11.9,11.4,74.6,36.8,37.8,,,,,77.5,,74.6,1.4,1.5,Private school,No,,,Private,Private
NA-1315,Hope Christian School: Prima,2345 N. 25th St.,"Milwaukee, WI 53206",Milwaukee,53206,Fails to Meet Expectations,48.9,556,Elementary School,0.9,93.9,0,K4,8,20.7,11.3,9.4,41.3,17.8,23.5,,,,,77.8,,74.8,1.5,1.5,Private school,No,,,Private,Private
NA-1656,Hope Christian School: Semper,3040 W. Capitol Drive,"Milwaukee, WI 53216",Milwaukee,53216,Fails to Meet Expectations,51.9,384,Elementary School,2.9,95.1,0,K4,8,25,12.1,12.9,52.7,19.7,33,,,,,78,,73,2.4,2.6,Private school,No,,,Private,Private
3619-253,Hopkins Lloyd Community School,1503 W Hopkins St,Milwaukee WI  53206-2165,Milwaukee,53206,Fails to Meet Expectations,52.1,277,Elementary School,33.9,94.6,0,K3,8,15.6,8.5,7.1,53.6,28.2,25.4,58.2,25.8,32.4,,70.6,,67.7,1.5,1.4,Public school,No,,,District,District
6300-440,Horace Mann Elementary,6213 W Lapham St,West Allis WI  53214-5096,West Allis,53214,Meets Expectations,63.8,495,Elementary School,17,80,6.7,K4,5,55.2,30.2,25,66.9,38.7,28.2,38,18.9,19.1,,85.7,,73.7,12,,Public school,No,,,District,District
3619-112,Howard Avenue Montessori School,357 E Howard Ave,Milwaukee WI  53207-3923,Milwaukee,53207,Meets Expectations,65,262,Elementary School,9.5,23.7,0,K3,3,57,32.7,24.3,,,,,,,,89.1,,76,13.1,,Public school,No,,,District,District
3619-223,Humboldt Park Elementary,3230 S Adams Ave,Milwaukee WI  53207-2706,Milwaukee,53207,Exceeds Expectations,80.1,596,Elementary School,12.6,75.8,29.2,K3,8,59.8,32.1,27.8,82.2,46.3,35.9,74.6,42.2,32.4,,85.9,,75.8,5.4,4.7,Public school,No,,,District,District
3619-165,IDEAL Individualized Developmental Educational Approaches to Learning,1420 W Goldcrest Ave,Milwaukee WI  53221,Milwaukee,53221,Meets Few Expectations,59.6,333,Elementary School,20.1,82.9,5.4,K3,8,47.5,26.9,20.7,48,27.3,20.7,61.7,29.8,31.9,,80.6,,72.2,4.3,4.1,Public school,Yes,Instrumentality,Milwaukee,District,District Instrumentality Charter
1897-20,Indian Hill Elementary,1101 W Brown Deer Rd,River Hills WI  53217-2199,River Hills,53217,Alternate Rating - Satisfactory Progress,AR,172,Elementary School,12.8,9.9,12.8,K4,2,,,,,,,,,,,,,,,,Public school,No,,,District,District
NA-1527,Inst of Technology & Academics,8940 N. 85th Street,"Milwaukee, WI 53224",Milwaukee,53224,Meets Few Expectations,61,258,Elementary/Secondary School,5,97.7,0,K4,8,15,8.3,6.7,60.4,24.5,35.9,,,,,76.6,,73.5,2.5,0.6,Private school,No,,,Private,Private
6300-140,Irving Elementary,10230 W Grant St,West Allis WI  53227-1399,West Allis,53227,Meets Expectations,69.9,501,Elementary School,22,48.9,0.8,K4,5,71.3,37.2,34.1,80.3,38.7,41.6,35.3,22.9,12.4,,89.5,,74.9,14.6,,Public school,No,,,District,District
3619-377,Jackson Elementary,2121 W Hadley St,Milwaukee WI  53206-1620,Milwaukee,53206,Meets Few Expectations,57.3,311,Elementary School,30.5,96.5,0.3,K3,5,30.2,16.2,14,57.5,27.3,30.2,62,27.2,34.8,,77.7,,71.8,5.9,,Public school,No,,,District,District
3619-409,James Madison Academic Campus,8135 W Florist Ave,Milwaukee WI  53218-1745,Milwaukee,53218,Fails to Meet Expectations,33.6,705,High School,26.4,99.6,1.1,9,12,11.1,8.6,2.6,,,,54.6,13.5,17.3,23.8,61.4,61.4,,,,Public school,No,,,District,District
6300-160,Jefferson Elementary,7229 W Becher St,West Allis WI  53219-1200,West Allis,53219,Meets Expectations,68.4,570,Elementary School,11.1,64.7,3.7,K4,5,67.8,35.6,32.3,69.8,36.8,33,46.5,25.1,21.4,,87.9,,74.1,13.8,,Public school,No,,,District,District
6244-100,Jefferson Elementary,6927 Maple Ter,Wauwatosa WI  53213-3195,Wauwatosa,53213,Significantly Exceeds Expectations,85.1,277,Elementary School,14.4,20.9,1.1,K4,5,89.5,44.9,44.6,77.5,35.9,41.6,72.9,39.8,33.1,,95.8,,77.7,18.1,,Public school,No,,,District,District
NA-1684,Jo's Learning Academy,4801 W. North Ave.,"Milwaukee, WI 53208",Milwaukee,53208,Not Rated*,,37,Elementary School,2.7,64.9,0,K4,2,,,,,,,,,,,,,,,,Private school,No,,,Private,Private
1253-60,Jones Elementary,5845 S Swift Ave,Cudahy WI  53110-2799,Cudahy,53110,Meets Expectations,72.2,119,Elementary School,25.2,35.3,1.7,K4,5,72.8,39.2,33.6,57.5,34.9,22.6,66.2,36.7,29.5,,92.3,,76.2,16.1,,Public school,No,,,District,District
3619-232,Kagel Elementary,1210 W Mineral St,Milwaukee WI  53204-2132,Milwaukee,53204,Meets Expectations,69.3,288,Elementary School,16,97.2,42,K3,5,34.5,16.2,18.3,62.2,27.3,34.9,78.2,42.2,36,,80.1,,72.9,7.2,,Public school,No,,,District,District
3619-235,Keefe Avenue Elementary,1618 W Keefe Ave,Milwaukee WI  53206-2359,Milwaukee,53206,Fails to Meet Expectations,52.5,256,Elementary School,22.3,92.6,0.8,K3,8,16.6,10,6.7,47,19.7,27.3,69.8,32.2,37.6,,72.1,,68.7,2.4,1,Public school,No,,,District,District
3619-237,Kilbourn Elementary,5354 N 68th St,Milwaukee WI  53218-2901,Milwaukee,53218,Exceeds Expectations,81.5,252,Elementary School,19,94.8,0,K3,5,38.1,20.7,17.4,75.6,39.7,35.9,99.9,49.9,50,,82.2,,73.3,8.9,,Public school,No,,,District,District
3619-20,King International,1801 W Olive St,Milwaukee WI  53209-6840,Milwaukee,53209,Meets Expectations,70,1525,Elementary/Secondary School,10.8,48,0.4,9,12,60.5,35.4,25.1,,,,68.7,18.7,17.8,32.2,91.4,91.4,,,,Public school,No,,,District,District
3619-210,King International Baccalaureate Middle,121 E Hadley St,Milwaukee WI  53209-5663,Milwaukee,53212,Meets Few Expectations,60.5,402,Middle School,15.9,86.1,0.7,6,8,26.2,16.7,9.5,59.4,33,26.4,74.6,37.6,37,,75.1,,70.8,,4.3,Public school,No,,,District,District
3619-199,King Jr Elementary,3275 N 3rd St,Milwaukee WI  53212-2064,Milwaukee,53212,Meets Few Expectations,54.1,354,Elementary School,27.7,97.7,0,K3,8,10.4,5.8,4.6,53.7,23.5,30.2,65.8,27.4,38.4,,72,,70.4,0.8,0.8,Public school,No,,,District,District
3619-337,Kluge Elementary,5760 N 67th St,Milwaukee WI  53218-2307,Milwaukee,53218,Meets Few Expectations,58.9,293,Elementary School,30,95.9,6.5,K3,5,26.6,12.2,14.4,48.9,15.9,33,66.2,29.5,36.7,,75.9,,71.7,4.2,,Public school,No,,,District,District
1253-140,Kosciuszko Elementary,5252 S Kirkwood Ave,Cudahy WI  53110-1943,Cudahy,53110,Meets Expectations,68.3,299,Elementary School,12.4,65.9,9,K4,5,51.4,27.7,23.7,58.5,34,24.5,72.5,38.1,34.4,,85.3,,74.4,10.9,,Public school,No,,,District,District
3619-1121,La Causa Charter School,1643 S 2nd St,Milwaukee WI  53204-2905,Milwaukee,53204,Exceeds Expectations,77.7,805,Elementary School,12.7,95,51.4,K4,8,32.5,18.3,14.3,80.3,43.5,36.8,77.9,39.8,38.1,,81.8,,75.1,3.6,3.1,Public school,Yes,Non-instrumentality,Milwaukee,Autonomous charter,District Non-Instrumentality Charter
3619-296,Lad Lake Synergy School,2820 W Grant St,Milwaukee WI  53215,Milwaukee,53215,Alternate Rating - Needs Improvement,AR,59,Elementary/Secondary School,32.2,100,15.3,6,12,,,,,,,,,,,,,,,,Public school,No,,,District,District
3619-238,LaFollette Elementary,3239 N 9th St,Milwaukee WI  53206-3251,Milwaukee,53206,Fails to Meet Expectations,46.7,210,Elementary School,31.9,100,0,K3,8,14.4,6.6,7.8,40.4,14,26.4,59.6,27,32.6,,71.7,,69,1.2,1.5,Public school,No,,,District,District
5355-40,Lake Bluff Elementary,1600 E Lake Bluff Blvd,Shorewood WI  53211-1599,Shorewood,53211,Significantly Exceeds Expectations,89.6,625,Elementary School,11.7,15.2,6.6,K4,6,95.9,47.9,48.1,73.7,32.1,41.6,82.3,42.2,40.1,,94.7,,76.5,18.2,,Public school,No,,,District,District
5439-40,Lakeview Elementary,711 Marion Ave,South Milwaukee WI  53172-3299,South Milwaukee,53172,Significantly Exceeds Expectations,84.8,322,Elementary School,17.4,64.3,3.1,K4,5,61.3,31,30.3,84.1,43.5,40.6,86.6,47.2,39.4,,89.4,,75.9,13.5,,Public school,No,,,District,District
3619-241,Lancaster Elementary,4931 N 68th St,Milwaukee WI  53218-3905,Milwaukee,53218,Fails to Meet Expectations,36.9,269,Elementary School,23.8,94.4,0.4,K3,8,13.4,8.8,4.6,16.6,10.2,6.4,63.2,28.8,34.4,,71.7,,69.5,1.6,0.6,Public school,No,,,District,District
6300-220,Lane Intermediate,1300 S 109th St,West Allis WI  53214-2300,West Allis,53214,Meets Expectations,72.7,537,Middle School,8.9,46.7,0.6,6,8,63.6,35,28.7,51.8,29.2,22.6,94.2,48.6,45.6,,84.8,,74.9,,9.9,Public school,No,,,District,District
3619-250,Lincoln Avenue Elementary,1817 W Lincoln Ave,Milwaukee WI  53215-2650,Milwaukee,53215,Meets Few Expectations,59.1,518,Elementary School,24.9,97.5,30.8,K3,5,29.9,13.8,16.2,49.9,19.7,30.2,63.9,29.5,34.4,,76.7,,71.8,4.9,,Public school,No,,,District,District
6244-120,Lincoln Elementary,1741 N Wauwatosa Ave,Wauwatosa WI  53213-2296,Wauwatosa,53213,Significantly Exceeds Expectations,92.7,303,Elementary School,9.2,10.6,1.3,K4,5,100,50,50,82.2,44.4,37.8,80.6,41,39.6,,96.4,,76.4,20,,Public school,No,,,District,District
1253-80,Lincoln Elementary,4416 S Packard Ave,Cudahy WI  53110-1195,Cudahy,53110,Exceeds Expectations,75.3,283,Elementary School,13.4,57.2,6,K4,5,62.8,35.1,27.7,74.6,41.6,33,66.5,37.2,29.3,,90.3,,75.2,15.1,,Public school,No,,,District,District
